title	json_key	type	chapter	description
	aboutManagementPlan	question	About the Data Management Plan	
	aboutManagementPlan2	question	About the Data Management Plan	
Project description	abstract	question	About the research project	Providing a project abstract, project proposal or other project description puts the DMP in context and is thus useful information for anyone reading or evaluating the DMP.
Who can access the archived data	access	question	Archiving and publishing data	
Are the criteria for application to access the data openly available?	accessApplicationCriteria	question	Archiving and publishing data	
Is access to the data/record/source restricted or needs to be applied for?	accessRecordSource	question	Reusing and collecting data	
How will re-users be able to get access?	accessReusers	question	Archiving and publishing data	Consider that users of a data set will need to be able to get access several years after the project is finished. The best way to arrange this is to put the responsibility for checking the rights to access the data with a fixed body in an organisation (a data access committee), rather than a single contact person (who might be unavailable in the future).
Will you need to add fields in your data format to a data type registry?	addFields	question	Data documentation during the project	Even if the data format you are using is unique to your project, the discrete data items should be reused or reusable as much as possible. Data type registries can help with that.
Are additional ethical guidelines or codes of conduct relevant?	additionalEthicalGuidelines	question	Legal and ethical aspects	Commonly subject-specific guidelines and codes of conduct apply in addition to the general research ethical guidelines. Please specify additional research ethical guidelines and codes of conduct that apply for the project.
About the Data Management Plan	administrativeInformation	chapter	About the Data Management Plan	Remember to select the right project phase before filling out/updating the DMP: User guidance This chapter collects administrative information about the DMP itself. Supporting information for this chapter
Affiliation	affiliation	question	About the Data Management Plan	Search by Norwegian or English organisation name to see a list of suggestions from the Research Organisation Registry (ROR).\ In case the organisation is not listed, preferably enter the url to its homepage and click outside of the text box to save the string.
Could you use data aggregation to make the data openly available?	aggregation	question	Archiving and publishing data	Aggregated data, where typically at least 15 individuals are in any data point, are considered sufficiently anonymous. This is an alternative way of making data openly available for future research.
Has a joint controllership agreement between the parties been established?	agreement	question	Legal and ethical aspects	
Agreement	agreement_1	question	Legal and ethical aspects	Add reference to established agreement.
Can all of the data become completely open over time?	allOpenOverTime	question	Archiving and publishing data	Some data may be subject to a temporary embargo, or need to stay closed for specific reasons. Select the most restrictive conditions that apply to (some of) the data.
Could anonymization be used to make the data more openly available?	anonymization	question	Archiving and publishing data	Different anonymization techniques exist. Disadvantage of anonymization is that data integration becomes virtually impossible, but it may be the only way to open up your data for other research.
If applicable: How will access to the storage solution be controlled?	applicableAccessStorage	question	Storing and protecting data during the project	
If applicable: Additional description of the data	applicableAdditionalDescription	question	Reusing and collecting data	
If applicable: Additional description of the data	applicableAdditionalDescription2	question	Reusing and collecting data	
If applicable: Document number	applicableDocumentNumber	question	Legal and ethical aspects	Does the document have an unambiguous identifier? Example: Document identifier in ePhorte
If applicable: Document number	applicableDocumentNumber2	question	Legal and ethical aspects	Does the document have an unambiguous identifier? Example: Document identifier in ePhorte
If applicable: Which legal or ethical aspects are to be considered and followed up?	applicableLegalEthical	question	Legal and ethical aspects	
If applicable: Link/reference to project in funder database	applicableLinkReference	question	About the research project	
If applicable: Related costs	applicableRelatedCosts	question	Responsibilities and resources	Indicate the single posts and/or the expected sum. If you are converting currencies, remember to indicate the conversion rate.
If applicable: Requirements for using the work space	applicableRequirementsWork	question	Processing, analysing and interpreting data	Some resources may require you to apply for using the work space. If applicable, briefly describe the application deadline, requirements, and expected time frame to receive an answer. Example: Applying for Sigma2 e-infrastructure resources
If applicable: Will you use a specific portion or subset of the data?	applicableSpecificPortion	question	Reusing and collecting data	
If applicable: How was the data selected?	applicableWasSelected	question	Reusing and collecting data	Did you use any specific methodology to identify the selected dataset, record or digital source?
Do you need to apply for the resources?	applyResources	question	Processing, analysing and interpreting data	
How will you name files and organise folders?	appointments	question	Storing and protecting data during the project	Most projects will have data organised in a file system with files and folders. Putting some thoughts into file naming and how to organise files and folders can save a lot of trouble later.
What will be your approach?	approach	question	Processing, analysing and interpreting data	Linked data is very suitable to integrate data, especially if the data sources are already represented as linked data.
Are you storing (some of your) data in an application specific manner?	appSpecific	question	Processing, analysing and interpreting data	Are you using e.g. an Electronic Lab Notebook (ELN) or Electronic Data Capture (EDC) application? Such applications often have their own data structure that can only be accessed through the application.
Archive	archive	question	Archiving and publishing data	
Archive information from FAIRsharing	archiveInformationFairsharing	question	Archiving and publishing data	Begin typing to see a list of suggestions based on information in the FAIRsharing registry.
Do your raw data need to be archived?	archiveRawData	question	Storing and protecting data during the project	
Archive/repository where the dataset is accessible	archiveRepositoryDataset	question	Reusing and collecting data	
	archivingPublishing	question	Archiving and publishing data	
Archiving and publishing data	archivingPublishingChapter	chapter	Archiving and publishing data	This chapter addresses what will happen with the data (at latest) when the project ends. Deletion of data, data publication and long term archiving are addressed. Supporting information for this chapter
Who will arrange access control?	arrangeAccessControl	question	Storing and protecting data during the project	
Which arrangements are needed? Who will take care of the arrangement?	arrangementsNeededTake	question	Responsibilities and resources	
Will a license be assigned to the data as early as possible?	assignsLicense	question	Data documentation during the project	It is not always clear to everyone in the project (or outside it) what can and can not be done with a dataset. It is therefore helpful to associate each dataset with a license as early as possible in the project. The license should be machine-readable wherever possible. A data license should ideally be as little restrictive as possible.
Will you store the licenses with the data at all time?	atAllTime	question	Data documentation during the project	Data are likely to be moved and copied, and over time people may lose track of their origin. It can therefore be helpful to store licences (preferably as open as possible) in close association with the data.
Has auditing for the re-use been arranged?	auditReuse	question	Archiving and publishing data	
Will you be allowing authenticated access to the data?	authenticatedAccess	question	Archiving and publishing data	
Who will take care of authentication of potential users?	authentication	question	Archiving and publishing data	
